lat;long;featured
51.513798;-0.10183800000004;B
51.513798;-0.10183800000004;B
51.513798;-0.10183800000004;B
51.513798;-0.10183800000004;B
49.49437;0.107929;A
51.4957797;-0.1198461;A
51.4957797;-0.1198461;A
51.5159579;-0.12019810000004;A
51.515897;-0.12020099999995;A
51.515897;-0.12020099999995;A
51.515897;-0.12020099999995;A
51.5073509;-0.12775829999998;A
51.5073509;-0.12775829999998;A
51.5073509;-0.12775829999998;A
51.5073509;-0.1277583;A
51.5073509;-0.1277583;B
51.5073509;-0.1277583;A
51.5073509;-0.1277583;A
51.5073509;-0.1277583;A
51.5073509;-0.1277583;A
51.5073509;-0.1277583;A
51.5073509;-0.1277583;A
51.5073509;-0.1277583;A
51.5073509;-0.1277583;A
51.5073509;-0.1277583;A
51.5073509;-0.1277583;A
51.5073509;-0.1277583;A
51.5073509;-0.1277583;A
51.5073509;-0.1277583;A
51.5188954;-0.143083;A
51.5560247;-0.2796177;A
51.575331735897;-0.32942080413818;A
39.5832765;-0.348876;A
49.1830451;-0.3710059;A
43.1628232;0.4142766;A
43.1628232;0.4142766;A
45.2985955;0.4983185;B
47.3946545;0.68177609999998;A
48.9793726;0.7832526;A
47.303916;-1.0080655;A
49.1156046;-1.082768;A
49.1156046;-1.082768;A
50.7865643;-1.0882327;A
41.7370195;-1.1031377;A
41.7370195;-1.1031377;A
45.0696642;-1.142852;A
48.973401;1.236565;A
48.973401;1.236565;A
44.197747286351;-1.2394259195312;B
48.7383555;1.3612625;A
47.2758976;1.7496585;B
47.2758976;1.7496585;A
47.2758976;1.7496585;B
35.6382064;1.9099238;B
52.44702;10.00556;A
46.4032825;10.065521;A
46.400963;10.0669235;A
46.4013791;10.0671952;A
46.4013638;10.0672007;A
46.4011795;10.0672755;A
46.4010378;10.0673484;A
46.4009303;10.0674105;A
46.4004277;10.0675294;A
46.6978636423;10.0899730354;B
43.8532419;10.2440758;A
43.8532419;10.2440758;A
47.1273417;10.2637905;A
43.7161483;10.3965764;A
43.7161483;10.3965764;A
45.5275;10.9566691;A
45.5275;10.9566691;A
11.5457038;104.8935875;A
39.739239;-104.984887;A
39.5647118;-105.7694748;A
39.5647118;-105.7694748;A
56.130366;-106.346771;A
56.130366;-106.346771;A
49.5527301;-107.9142959;B
46.0700903;11.1197483;B
43.7683527;11.2539657;B
53.6355022;11.4012499;A
53.6355022;11.4012499;A
53.6355022;11.4012499;A
59.920334224769;-11.52279525;A
48.4702169;11.9358872;A
46.878845;-110.3622354;A
46.878845;-110.3622354;A
27.915009;112.526671;A
40.4319077;116.5703749;A
36.6195483;-116.9994835;A
34.0522342;-118.2436849;A
